Ticker,Shares,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ASHOKLEY.NS,2,94.55,124.55,249.1,60,31.73,0.93
DAAWAT.NS,5,65,74.95,374.75,49.75,15.31,1.15
IOC.NS,3,98.65,111.2,333.6,37.65,12.72,-0.18
J&KBANK.NS,6,25.3,41.2,247.2,95.4,62.85,5.51
JUNIORBEES.NS,1,354,404.7,404.7,50.7,14.32,0.18
MOREPENLAB.NS,40,36.67,62.65,2506,1039,70.82,-0.56
NIFTYBEES.NS,2,158.1,170,340,23.8,7.53,-0.23
PNB.NS,5,45.6,43,215,-13,-5.7,1.65
SAIL.NS,4,74.5,132.6,530.4,232.4,77.99,0.91
STLTECH.NS,3,186,266,798,240,43.01,0.42
